shot_group,shot,time,time_from_group_lead,Year,Month,Day,Hour,Minute,Second,Source Location
S2_N,112,2025-06-14 14:46:22.300000,11.686,2025,6,14,14,46,22.3000000000447,19
S2_N,113,2025-06-14 14:46:26.051000,15.437,2025,6,14,14,46,26.0509999999777,19
S2_N,114,2025-06-14 14:46:29.889000,19.275,2025,6,14,14,46,29.8889999999702,19
S2_S,115,2025-06-14 14:46:49.025000,0.0,2025,6,14,14,46,49.0250000000224,20
S2_S,116,2025-06-14 14:46:52.373000,3.348,2025,6,14,14,46,52.3730000000224,20
S2_S,117,2025-06-14 14:47:00.624000,11.599,2025,6,14,14,47,0.623999999955297,20
S2_S,118,2025-06-14 14:47:04.661000,15.636,2025,6,14,14,47,4.66099999996275,20
S2_S,119,2025-06-14 14:47:08.540000,19.515,2025,6,14,14,47,8.54000000003725,20
S2_S,120,2025-06-14 14:47:12.660000,23.635,2025,6,14,14,47,12.6600000000298,20
S3_N,121,2025-06-14 14:48:24.041000,0.0,2025,6,14,14,48,24.0409999999702,21
S3_N,122,2025-06-14 14:48:27.513000,3.472,2025,6,14,14,48,27.5130000000373,21
S3_N,123,2025-06-14 14:48:31.176000,7.135,2025,6,14,14,48,31.1759999999777,21
S3_N,124,2025-06-14 14:48:38.447000,14.406,2025,6,14,14,48,38.4470000000447,21
S3_N,125,2025-06-14 14:48:46.719000,22.678,2025,6,14,14,48,46.7190000000447,21
S3_N,126,2025-06-14 14:48:54.334000,30.293,2025,6,14,14,48,54.3340000000298,21
S3_S,127,2025-06-14 14:56:02.754000,0.0,2025,6,14,14,56,2.7539999999553,22
S3_S,128,2025-06-14 14:56:10.446000,7.692,2025,6,14,14,56,10.446,22
S3_S,129,2025-06-14 14:56:19.941000,17.187,2025,6,14,14,56,19.9409999999926,22
S3_S,130,2025-06-14 14:56:29.745000,26.991,2025,6,14,14,56,29.7449999999926,22
S3_S,131,2025-06-14 14:56:35.657000,32.903,2025,6,14,14,56,35.6570000000075,22
S3_S,132,2025-06-14 14:56:40.429000,37.675,2025,6,14,14,56,40.429,22
S4_N,133,2025-06-14 14:57:32.288000,0.0,2025,6,14,14,57,32.2879999999404,23
S4_N,134,2025-06-14 14:57:41.114000,8.826,2025,6,14,14,57,41.1139999999404,23
S4_N,135,2025-06-14 14:57:46.386000,14.098,2025,6,14,14,57,46.3860000000596,23
S4_N,136,2025-06-14 14:57:56.794000,24.506,2025,6,14,14,57,56.7939999999926,23
S4_N,137,2025-06-14 14:58:02.817000,30.529,2025,6,14,14,58,2.81700000003725,23
S4_N,138,2025-06-14 14:58:07.597000,35.309,2025,6,14,14,58,7.59699999994785,23
S4_S,139,2025-06-14 14:58:36.778000,0.0,2025,6,14,14,58,36.7780000000522,24
S4_S,140,2025-06-14 14:58:49.683000,12.905,2025,6,14,14,58,49.6829999999627,24
S4_S,141,2025-06-14 14:58:53.265000,16.487,2025,6,14,14,58,53.2650000000149,24
S4_S,142,2025-06-14 14:58:57.626000,20.848,2025,6,14,14,58,57.6260000000447,24
S4_S,143,2025-06-14 14:59:01.801000,25.023,2025,6,14,14,59,1.80099999997765,24
S4_S,144,2025-06-14 14:59:06.312000,29.534,2025,6,14,14,59,6.31200000003725,24
S5_N,145,2025-06-14 15:00:29.264000,0.0,2025,6,14,15,0,29.2639999999702,25
S5_N,146,2025-06-14 15:00:41.179000,11.915,2025,6,14,15,0,41.179,25
S5_N,147,2025-06-14 15:00:46.074000,16.81,2025,6,14,15,0,46.0740000000224,25
S5_N,148,2025-06-14 15:00:50.778000,21.514,2025,6,14,15,0,50.7780000000522,25
S5_N,149,2025-06-14 15:00:54.710000,25.446,2025,6,14,15,0,54.7099999999628,25
S5_N,150,2025-06-14 15:00:58.732000,29.468,2025,6,14,15,0,58.7319999999627,25
S5_S,151,2025-06-14 15:01:24.520000,0.0,2025,6,14,15,1,24.5200000000149,26
S5_S,152,2025-06-14 15:01:28.246000,3.726,2025,6,14,15,1,28.2460000000447,26
S5_S,153,2025-06-14 15:01:32.203000,7.683,2025,6,14,15,1,32.2029999999777,26
S5_S,154,2025-06-14 15:01:36.700000,12.18,2025,6,14,15,1,36.6999999999553,26
S5_S,155,2025-06-14 15:01:40.702000,16.182,2025,6,14,15,1,40.7020000000447,26
S5_S,156,2025-06-14 15:01:44.450000,19.93,2025,6,14,15,1,44.4499999999553,26
S6_N,157,2025-06-14 15:02:52.530000,0.0,2025,6,14,15,2,52.5300000000298,27
S6_N,158,2025-06-14 15:02:57.329000,4.799,2025,6,14,15,2,57.3290000000298,27
S6_N,159,2025-06-14 15:03:01.323000,8.793,2025,6,14,15,3,1.32299999997765,27
S6_N,160,2025-06-14 15:03:09.147000,16.617,2025,6,14,15,3,9.147,27
S6_N,161,2025-06-14 15:03:13.802000,21.272,2025,6,14,15,3,13.8020000000224,27
S6_N,162,2025-06-14 15:03:17.733000,25.203,2025,6,14,15,3,17.7330000000075,27
S6_S,163,2025-06-14 15:03:40.637000,0.0,2025,6,14,15,3,40.6369999999851,28
S6_S,164,2025-06-14 15:03:44.569000,3.932,2025,6,14,15,3,44.5690000000149,28
S6_S,165,2025-06-14 15:03:48.396000,7.759,2025,6,14,15,3,48.3959999999479,28
S6_S,166,2025-06-14 15:03:52.326000,11.689,2025,6,14,15,3,52.326,28
S6_S,167,2025-06-14 15:03:56.432000,15.795,2025,6,14,15,3,56.4320000000298,28
S6_S,168,2025-06-14 15:04:00.252000,19.615,2025,6,14,15,4,0.251999999977648,28
S7_N,169,2025-06-14 15:04:43.332000,0.0,2025,6,14,15,4,43.3320000000522,29
S7_N,170,2025-06-14 15:04:47.155000,3.823,2025,6,14,15,4,47.1550000000298,29
S7_N,171,2025-06-14 15:04:51.097000,7.765,2025,6,14,15,4,51.0969999999479,29
S7_N,172,2025-06-14 15:04:55.047000,11.715,2025,6,14,15,4,55.0470000000224,29
